法術,英文名稱,欄位,修正前,修正後
木遁術,Transport Via Plants,description_zh,"法時間：1 個標準動作距
離：無限制
目標：你和被接觸到的物體或其他被接觸的自願生物
持續時間：一輪
豁免檢定：無
法術抗力：不可
你可進入任何普通植物（中型或更大）並在一輪內傳送到一棵同類的植物內，不論兩
者距離多遠。你進入的植物必須是活…","你可進入任何普通植物（中型或更大）並在一輪內傳送到一棵同類的植物內，不論兩
者距離多遠。你進入的植物必須是活的。你不需要熟悉你將到達的植物，但它必須是活的。
如果你不確定特定目標植物的位置，只需指出方向和距離，木遁術會將你移動到距離該點
最…"
藤蔓拌摔,Trip Vine,range_text,,中距（100 尺+10 尺/每等級）
藤蔓拌摔,Trip Vine,area_text,中距（100 尺+10 尺/每等級） 1 個 10 尺方格/每等級,1 個 10 尺方格/每等級
釋縛術,Unbinding,range_text,180 英尺 影響範圍：以你為中心半徑 180 英尺爆發範圍內,180 英尺
釋縛術,Unbinding,area_text,,以你為中心半徑 180 英尺爆發範圍內
死靈火炬,Undead Torch,components,Ｖ、Ｓ、Ｍ 施展時間：一個標準動作,Ｖ、Ｓ、Ｍ
死靈火炬,Undead Torch,casting_time,,一個標準動作
亡靈天敵,Undeath's Eternal Foe,components,Ｖ、Ｓ、ＤＦ 施展時間：一個標準動作,Ｖ、Ｓ、ＤＦ
亡靈天敵,Undeath's Eternal Foe,casting_time,,一個標準動作
地底之主,Undermaster,components,Ｖ、Ｍ 施展時間：一個標準動作,Ｖ、Ｍ
地底之主,Undermaster,casting_time,,一個標準動作
專注之歌,Undersong,components,,Ｖ
專注之歌,Undersong,casting_time,,一個標準動作
專注之歌,Undersong,range_text,,個人
專注之歌,Undersong,target_text,,自己
專注之歌,Undersong,duration,,10 分鐘/每等級
專注之歌,Undersong,description_zh,"法書成分：Ｖ
施展時間：一個標準動作
距離：個人
目標：自己
持續時間：10 分鐘/每等級
當你施展這個法術，一首輕柔而又熟悉的歌曲淌進你的意識。
這個法術給你的意識帶去一首使你保持專注的歌。這歌並不會使你從任何工作中分心
——相反，哼唱歌…","當你施展這個法術，一首輕柔而又熟悉的歌曲淌進你的意識。
這個法術給你的意識帶去一首使你保持專注的歌。這歌並不會使你從任何工作中分心
——相反，哼唱歌曲時你可以輕鬆地保持專注。在法術持續期間，你可以用表演檢定代替
專注檢定。"
隱匿陣營,Undetectable Alignment,range_text,,近距（25 英尺+5 英尺/2 等級）
隱匿陣營,Undetectable Alignment,area_text,近距（25 英尺+5 英尺/2 等級）,
波動內臟,Undulant Innards,components,語言，姿勢施 法時間：標準動作,語言，姿勢
波動內臟,Undulant Innards,casting_time,,標準動作
邪居,Unhallow,range_text,,接觸
邪居,Unhallow,area_text,接觸 一接觸點為中心，半徑 40 英尺的彌漫範圍,一接觸點為中心，半徑 40 英尺的彌漫範圍
邪影擊,Unholy Blight,components,言語，姿勢施 法時間：1 個標準動作,言語，姿勢
邪影擊,Unholy Blight,casting_time,,1 個標準動作
不潔風暴,Unholy Storm,casting_time,,一個標準動作
不潔風暴,Unholy Storm,area_text,,柱狀（半徑 20 英 尺 高 20 英尺）
不潔風暴,Unholy Storm,duration,,1 輪/每等級
不潔風暴,Unholy Storm,saving_throw,,無
不潔風暴,Unholy Storm,description_zh,"施展時間：一個標準動作
影響範圍：柱狀（半徑 20 英 尺 高 20 英尺）
持續時間：1 輪/每等級
豁免檢定：無
法書抗力：不可
你喚起邪惡的力量，暴雨在你指定的地方傾盆而下，雨點污穢而灼人。
一場大雨在你周圍落下。一旦雨被創造，它就會…","法書抗力：不可
你喚起邪惡的力量，暴雨在你指定的地方傾盆而下，雨點污穢而灼人。
一場大雨在你周圍落下。一旦雨被創造，它就會在指定的地方降下。這風暴阻撓了視
線和聲音，因此雨中聆聽、偵查、搜索檢定會受到-4 減值。要射入、射出、穿過 這場風暴…"
堅韌之根,Unyielding Roots,components,Ｖ、Ｓ、ＤＦ 施展時間：一個標準動作,Ｖ、Ｓ、ＤＦ
堅韌之根,Unyielding Roots,casting_time,,一個標準動作
上升氣流,Updraft,components,Ｖ、Ｓ、Ｍ 施展時間：一個迅捷動作,Ｖ、Ｓ、Ｍ
上升氣流,Updraft,casting_time,,一個迅捷動作
終極黑暗,Utterdark,components,,語言，姿勢，材料/法器
終極黑暗,Utterdark,casting_time,,3 輪
終極黑暗,Utterdark,range_text,,近距（25 尺+5 尺/2 每等級）
終極黑暗,Utterdark,area_text,,100 尺/每等級半徑擴散
終極黑暗,Utterdark,duration,,1 小時/每等級
終極黑暗,Utterdark,saving_throw,,無
終極黑暗,Utterdark,spell_resistance,,不可
終極黑暗,Utterdark,description_zh,"術成分：語言，姿勢，材料/法器施
法時間：3 輪
距離：近距（25 尺+5 尺/2 每等級）
區域：100 尺/每等級半徑擴散
持續時間：1 小時/每等級
豁免檢定：無
法術抗力：不可
終極黑暗以你為中心蔓延開來，製造出一片冰冷刺骨、令人作…","終極黑暗以你為中心蔓延開來，製造出一片冰冷刺骨、令人作嘔的魔法黑暗。這個黑暗
類似深幽黑暗術所創造的黑暗，但是無法被魔法光明（儘管一個相等或更高等級的光明法術
或類似效果可以在重疊區域暫時壓制終極黑暗，只要光明法術或效果持續，區域內就可以恢…"
隱匿之紗,Veil,saving_throw,意志，通過則無效；見下文法,意志，通過則無效；見下文
隱匿之紗,Veil,spell_resistance,,可，見下文
隱匿之紗,Veil,description_zh,"術抗力：可，見下文
你可以瞬間改變受術者的外觀，之後在法術持續時間內它將保持不變。你可以讓受術
者變成任何你希望的東西。他的外觀、觸感和氣味都會發生相應的變化。若受術者死亡，
則回復原樣。你必須先同過易容檢定才能複製出特定人物的樣貌。該法術…","你可以瞬間改變受術者的外觀，之後在法術持續時間內它將保持不變。你可以讓受術
者變成任何你希望的東西。他的外觀、觸感和氣味都會發生相應的變化。若受術者死亡，
則回復原樣。你必須先同過易容檢定才能複製出特定人物的樣貌。該法術可以讓你在檢定
時獲…"
陰影面紗,Veil Of Shadow,components,Ｖ、Ｓ 施展時間：一個標準動作,Ｖ、Ｓ
陰影面紗,Veil Of Shadow,casting_time,,一個標準動作
暈眩之域,Vertigo Field,range_text,中距（100 呎+10 呎/每等級） 影響範圍：半徑 20 呎擴散範圍,中距（100 呎+10 呎/每等級）
暈眩之域,Vertigo Field,area_text,,半徑 20 呎擴散範圍
次級回春術,"Vigor,Lesser",components,Ｖ、Ｓ 施展時間：一個標準動作,Ｖ、Ｓ
次級回春術,"Vigor,Lesser",casting_time,,一個標準動作
邪靈術,Vile Death,components,Ｖ、Ｓ、Ｍ、ＸＰ 施展時間：1 個小時,Ｖ、Ｓ、Ｍ、ＸＰ
邪靈術,Vile Death,casting_time,,1 個小時
蔓藤源泉,Vine Mine,components,Ｖ、Ｓ、Ｍ 施展時間：一個標準動作,Ｖ、Ｓ、Ｍ
蔓藤源泉,Vine Mine,casting_time,,一個標準動作
蔓藤源泉,Vine Mine,range_text,中距（100 英尺+10 英尺/每等級） 影響範圍：半徑 10 尺擴散,中距（100 英尺+10 英尺/每等級）
蔓藤源泉,Vine Mine,area_text,,半徑 10 尺擴散
打擊藤蔓,Vine Strike,components,V、DF 施法動作：迅捷動作,V、DF
打擊藤蔓,Vine Strike,casting_time,,迅捷動作
毒蛇群聚,Vipergout,components,,Ｖ，Ｓ，Ｍ
毒蛇群聚,Vipergout,casting_time,,一個標準動作
毒蛇群聚,Vipergout,range_text,,近距（25 英尺+5 英尺/每 2 等級）
毒蛇群聚,Vipergout,effect_text,,1d4+3 個召喚生物
毒蛇群聚,Vipergout,duration,,1 輪/等級
毒蛇群聚,Vipergout,saving_throw,,無
毒蛇群聚,Vipergout,spell_resistance,,可
毒蛇群聚,Vipergout,description_zh,"法 術 成 分 ：Ｖ，Ｓ，Ｍ
施展時間：一個標準動作
距離：近距（25 英尺+5 英尺/每 2 等級）
效果：1d4+3 個召喚生物
持續時間：1 輪/等級
豁免檢定：無
法術抗力：可
當你完成這個法術的時候，你感受到一陣劇烈的反胃。 一些…","當你完成這個法術的時候，你感受到一陣劇烈的反胃。 一些東西從你的喉嚨湧出，最
終你嘔出一條條毒蛇。
這個法術可以召喚出 1d4+3 條天界或者煉獄中型毒蛇。它們從你的口中竄出，去攻擊
你的敵人。
一條被這個法術召喚的天界毒蛇有強酸、寒冷、電…"
次級神之面容,"Visage Of The Deity,Lesser",components,Ｖ、Ｓ、ＤＦ 施展時間：一個標準動作,Ｖ、Ｓ、ＤＦ
次級神之面容,"Visage Of The Deity,Lesser",casting_time,,一個標準動作
粘滯膠團,Viscid Glob,components,Ｖ、Ｓ、Ｍ 施展時間：一個標準動作,Ｖ、Ｓ、Ｍ
粘滯膠團,Viscid Glob,casting_time,,一個標準動作
光榮之視,Vision Of Glory,components,Ｖ、Ｓ、ＤＦ 施展時間：一個標準動作,Ｖ、Ｓ、ＤＦ
光榮之視,Vision Of Glory,casting_time,,一個標準動作
龍言術,Voice Of The Dragon,components,Ｖ、Ｓ 施展時間：一個標準動作,Ｖ、Ｓ
龍言術,Voice Of The Dragon,casting_time,,一個標準動作
利齒旋風,Vortex Of Teeth,components,Ｖ、Ｓ、Ｍ 施展時間：一個標準動作,Ｖ、Ｓ、Ｍ
利齒旋風,Vortex Of Teeth,casting_time,,一個標準動作
利齒旋風,Vortex Of Teeth,range_text,中距（100 英尺+10 英尺/每等級） 影響範圍：中空的圓柱體（半徑 40 英尺，20 英尺高，中心有半徑 5 英尺的安全區域）,中距（100 英尺+10 英尺/每等級）
利齒旋風,Vortex Of Teeth,area_text,,中空的圓柱體（半徑 40 英尺，20 英尺高，中心有半徑 5 英尺的安全區域）
畏懼傷害,Vulnerability,components,Ｖ、Ｓ 施展時間：一個標準動作,Ｖ、Ｓ
畏懼傷害,Vulnerability,casting_time,,一個標準動作
毀滅之嚎,Wail Of Doom,components,V 施法動作：標準動作,V
毀滅之嚎,Wail Of Doom,casting_time,,標準動作
肢體之牆,Wall Of Limbs,components,,V，S
棘牆術,Wall Of Thorns,components,言語，姿勢施 法時間：1 個標準動作,言語，姿勢
棘牆術,Wall Of Thorns,casting_time,,1 個標準動作
戰爭嚎哭,War Cry,components,V、S 施法動作：迅捷動作,V、S
戰爭嚎哭,War Cry,casting_time,,迅捷動作
戰爭嚎哭,War Cry,range_text,,個人
戰爭嚎哭,War Cry,area_text,個人,
戰嚎,Warcry,range_text,30呎 影響範圍：錐狀爆發範圍,30呎
戰嚎,Warcry,area_text,,錐狀爆發範圍
曲木術,Warp Wood,components,言語，姿勢施 法時間：1 個標準動作,言語，姿勢
曲木術,Warp Wood,casting_time,,1 個標準動作
悲痛之濤,Wave Of Grief,duration,1 輪每等級豁,1 輪每等級
悲痛之濤,Wave Of Grief,saving_throw,,意志過則無效
悲痛之濤,Wave Of Grief,spell_resistance,,可
悲痛之濤,Wave Of Grief,description_zh,"免檢定：意志過則無效法
術抗力：可
發出一聲悲痛的哀號，你施放出一道注滿了悲傷與憂鬱的魔法脈衝。
所有在法術施放的錐形局域內的生物在攻擊，豁免，屬性，技能檢定上都會受到-3 的
懲罰。
施法材料：三滴眼淚。","發出一聲悲痛的哀號，你施放出一道注滿了悲傷與憂鬱的魔法脈衝。
所有在法術施放的錐形局域內的生物在攻擊，豁免，屬性，技能檢定上都會受到-3 的
懲罰。
施法材料：三滴眼淚。"
力竭波,Waves Of Exhaustion,components,言語，姿勢施,言語，姿勢
力竭波,Waves Of Exhaustion,casting_time,,1 個標準動作
力竭波,Waves Of Exhaustion,range_text,,60 英尺
力竭波,Waves Of Exhaustion,area_text,,錐形爆發範圍
力竭波,Waves Of Exhaustion,duration,,立即
力竭波,Waves Of Exhaustion,saving_throw,,無
力竭波,Waves Of Exhaustion,spell_resistance,,可
力竭波,Waves Of Exhaustion,description_zh,"法時間：1 個標準動作距
離：60 英尺
區域：錐形爆發範圍
持續時間：立即
豁免檢定：無
法術抗力：可
負能量波會使得法術範圍內的所有活物力竭（ Exhausted）。本法術對已經陷入力竭的
生物無效。","負能量波會使得法術範圍內的所有活物力竭（ Exhausted）。本法術對已經陷入力竭的
生物無效。"
疲乏波,Waves Of Fatigue,components,言語，姿勢施,言語，姿勢
疲乏波,Waves Of Fatigue,casting_time,,1 個標準動作
疲乏波,Waves Of Fatigue,range_text,,30 英尺
疲乏波,Waves Of Fatigue,area_text,,錐形爆發範圍
疲乏波,Waves Of Fatigue,duration,,立即
疲乏波,Waves Of Fatigue,saving_throw,,無
疲乏波,Waves Of Fatigue,spell_resistance,,可
疲乏波,Waves Of Fatigue,description_zh,"法時間：1 個標準動作距
離：30 英尺
區域：錐形爆發範圍
持續時間：立即
豁免檢定：無
法術抗力：可
負能量波會使得法術範圍內的所有生物疲乏 （Fatigued）。本法術對已經陷入疲乏的生
物無效。","負能量波會使得法術範圍內的所有生物疲乏 （Fatigued）。本法術對已經陷入疲乏的生
物無效。"
神性武器,Weapon Of The Deity,target_text,接觸到的武器持 續時間：1 輪每等級,接觸到的武器
神性武器,Weapon Of The Deity,duration,,1 輪每等級
蛛 網 術,Web,effect_text,半徑 20 英尺擴散範圍內的蜘蛛網 持續時間；10 分鐘/每等級,半徑 20 英尺擴散範圍內的蜘蛛網
蛛 網 術,Web,duration,,10 分鐘/每等級
迴旋飛刃,Whirling Blade,duration,立即 豁免：無,立即
迴旋飛刃,Whirling Blade,saving_throw,,無
旋風術,Whirlwind,effect_text,底寬 10 英尺，頂寬 30 英尺 ，高 30 英尺的旋風 持續時間；1 輪/每等級（可解消）,底寬 10 英尺，頂寬 30 英尺 ，高 30 英尺的旋風
旋風術,Whirlwind,duration,,1 輪/每等級（可解消）
束翼術,Wingbind,saving_throw,反射過則無效法,反射過則無效
束翼術,Wingbind,spell_resistance,,可
束翼術,Wingbind,description_zh,"術抗力：可
飛行中的生物發出一聲驚訝的嗥叫然後垂直的落向地面，它的翅膀緊貼身體並且被一道
亮綠色的網束縛著。
力場網圍繞著目標，像是漁網一樣糾纏著目標。該法術的作用機理很像大地束縛（76
頁），除了被束縛的生物會立即落向地面受到墜落傷害。
…","飛行中的生物發出一聲驚訝的嗥叫然後垂直的落向地面，它的翅膀緊貼身體並且被一道
亮綠色的網束縛著。
力場網圍繞著目標，像是漁網一樣糾纏著目標。該法術的作用機理很像大地束縛（76
頁），除了被束縛的生物會立即落向地面受到墜落傷害。
被束縛的生物…"
淩虐之觸,Wracking Touch,components,V、S 施法動作：標準動作,V、S
淩虐之觸,Wracking Touch,casting_time,,標準動作
鬼擊術,Wraithstrike,components,V、S 施法動作：迅捷動作,V、S
鬼擊術,Wraithstrike,casting_time,,迅捷動作
鬼擊術,Wraithstrike,range_text,,個人
鬼擊術,Wraithstrike,area_text,個人,
歐提路克壓制領域,原文：Otiluke's Impressing Field,area_text,,20 英尺半徑彌漫，以你為中心
歐提路克壓制領域,原文：Otiluke's Impressing Field,duration,,10 分鐘/每等級 （可消解）
歐提路克壓制領域,原文：Otiluke's Impressing Field,saving_throw,,無
歐提路克壓制領域,原文：Otiluke's Impressing Field,spell_resistance,,無
歐提路克壓制領域,原文：Otiluke's Impressing Field,description_zh,"面積：20 英尺半徑彌漫，以你為中心持
續時間：10 分鐘/每等級 （可消解）
豁免檢定：無
法術抗力：無
你的皮膚感到刺痛正如你處在強力魔法領域輻射區域內。
當你施放這個法術時，指定一個法術學派或一個法術子學派（如 邪惡法術 Evil S…","你的皮膚感到刺痛正如你處在強力魔法領域輻射區域內。
當你施放這個法術時，指定一個法術學派或一個法術子學派（如 邪惡法術 Evil Spells 或
火法術 fire Spells）。該類型的法術在你的法術區域內受到壓制。任何試圖在（或進入）…"
